epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,175.161,1.14181,0.96496,1.0103,0.82645,0.82848,0.80621,0.53236,1.13767,1.04099,1.06695,0.007195,0.007195,0.007195
87,177.216,1.16449,1.01444,1.00532,0.82645,0.82848,0.80621,0.53236,1.13767,1.04099,1.06695,0.007162,0.007162,0.007162
88,179.492,1.21227,1.01415,0.99225,0.76495,0.80203,0.77231,0.5137,1.11433,1.14905,1.06101,0.007129,0.007129,0.007129
89,181.362,1.23027,1.02474,1.01842,0.76495,0.80203,0.77231,0.5137,1.11433,1.14905,1.06101,0.007096,0.007096,0.007096
90,183.111,1.16618,1.04936,1.05575,0.76495,0.80203,0.77231,0.5137,1.11433,1.14905,1.06101,0.007063,0.007063,0.007063
91,184.907,1.17939,0.99987,1.02446,0.7604,0.84357,0.79432,0.52427,1.13882,1.08108,1.06646,0.00703,0.00703,0.00703
92,186.636,1.12004,1.00384,1.02715,0.7604,0.84357,0.79432,0.52427,1.13882,1.08108,1.06646,0.006997,0.006997,0.006997
93,188.515,1.16682,0.97848,0.99688,0.7604,0.84357,0.79432,0.52427,1.13882,1.08108,1.06646,0.006964,0.006964,0.006964
94,190.66,1.21791,0.95588,0.99774,0.76906,0.83972,0.78765,0.52489,1.14369,1.0605,1.07285,0.006931,0.006931,0.006931
95,192.908,1.0924,0.98912,1.00385,0.76906,0.83972,0.78765,0.52489,1.14369,1.0605,1.07285,0.006898,0.006898,0.006898
96,194.711,1.16169,1.01335,0.99782,0.76906,0.83972,0.78765,0.52489,1.14369,1.0605,1.07285,0.006865,0.006865,0.006865
97,196.429,1.12519,0.99188,1.03966,0.76906,0.83972,0.78765,0.52489,1.14369,1.0605,1.07285,0.006832,0.006832,0.006832
98,198.214,1.13376,0.95263,1.00051,0.76445,0.81424,0.77569,0.52552,1.13786,1.06803,1.07709,0.006799,0.006799,0.006799
99,200.107,1.15265,1.02981,0.99697,0.76445,0.81424,0.77569,0.52552,1.13786,1.06803,1.07709,0.006766,0.006766,0.006766
100,201.926,1.11738,0.9604,1.00035,0.76445,0.81424,0.77569,0.52552,1.13786,1.06803,1.07709,0.006733,0.006733,0.006733
101,204.222,1.11846,0.87245,0.98622,0.78862,0.82651,0.77914,0.53669,1.10751,1.01069,1.06159,0.0067,0.0067,0.0067
102,206.485,1.10211,0.94289,1.00642,0.78862,0.82651,0.77914,0.53669,1.10751,1.01069,1.06159,0.006667,0.006667,0.006667
103,208.434,1.12479,0.9631,1.0035,0.78862,0.82651,0.77914,0.53669,1.10751,1.01069,1.06159,0.006634,0.006634,0.006634
104,210.19,1.06078,0.93371,1.00758,0.79382,0.82327,0.78585,0.54219,1.08201,0.99071,1.05625,0.006601,0.006601,0.006601
105,211.991,1.15365,0.98725,1.00981,0.79382,0.82327,0.78585,0.54219,1.08201,0.99071,1.05625,0.006568,0.006568,0.006568
106,213.892,1.15002,0.90269,0.97972,0.79382,0.82327,0.78585,0.54219,1.08201,0.99071,1.05625,0.006535,0.006535,0.006535
107,215.756,1.14063,0.9687,1.01382,0.82065,0.86039,0.80293,0.54499,1.08809,0.97086,1.05717,0.006502,0.006502,0.006502
