epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,180.223,1.16609,0.89424,0.99368,0.59732,0.69542,0.60599,0.40283,1.16605,1.3312,1.15878,0.007855,0.007855,0.007855
67,182.886,1.17013,0.93858,0.99167,0.59732,0.69542,0.60599,0.40283,1.16605,1.3312,1.15878,0.007822,0.007822,0.007822
68,184.994,1.25141,0.95814,1.00301,0.59732,0.69542,0.60599,0.40283,1.16605,1.3312,1.15878,0.007789,0.007789,0.007789
69,187.327,1.13703,0.88309,1.03424,0.68768,0.75807,0.62416,0.40718,1.19295,1.19093,1.16523,0.007756,0.007756,0.007756
70,189.348,1.18532,0.93429,1.01722,0.68768,0.75807,0.62416,0.40718,1.19295,1.19093,1.16523,0.007723,0.007723,0.007723
71,191.266,1.13542,0.94748,1.0407,0.68768,0.75807,0.62416,0.40718,1.19295,1.19093,1.16523,0.00769,0.00769,0.00769
72,193.556,1.27081,0.92847,0.98073,0.73275,0.63776,0.5754,0.37993,1.16493,1.37297,1.15789,0.007657,0.007657,0.007657
73,196.204,1.18152,0.89342,1.01668,0.73275,0.63776,0.5754,0.37993,1.16493,1.37297,1.15789,0.007624,0.007624,0.007624
74,198.348,1.2105,0.90072,1.02822,0.73275,0.63776,0.5754,0.37993,1.16493,1.37297,1.15789,0.007591,0.007591,0.007591
75,200.418,1.17522,0.88204,0.97144,0.5249,0.51293,0.42047,0.26763,1.17823,1.75936,1.16958,0.007558,0.007558,0.007558
76,202.412,1.17709,0.90808,1.04393,0.5249,0.51293,0.42047,0.26763,1.17823,1.75936,1.16958,0.007525,0.007525,0.007525
77,204.398,1.19692,0.9455,1.05631,0.5249,0.51293,0.42047,0.26763,1.17823,1.75936,1.16958,0.007492,0.007492,0.007492
78,206.863,1.25282,0.95726,1.02291,0.75182,0.63348,0.68212,0.46212,1.13897,1.32245,1.14482,0.007459,0.007459,0.007459
79,209.521,1.16717,0.98704,1.06096,0.75182,0.63348,0.68212,0.46212,1.13897,1.32245,1.14482,0.007426,0.007426,0.007426
80,211.559,1.1443,0.87783,1.05481,0.75182,0.63348,0.68212,0.46212,1.13897,1.32245,1.14482,0.007393,0.007393,0.007393
81,213.524,1.07871,0.90897,1.04193,0.75182,0.63348,0.68212,0.46212,1.13897,1.32245,1.14482,0.00736,0.00736,0.00736
82,215.545,1.12887,0.82967,1.05139,0.81175,0.80286,0.78276,0.53157,1.15574,1.05113,1.15891,0.007327,0.007327,0.007327
83,217.585,1.17977,0.88819,1.04875,0.81175,0.80286,0.78276,0.53157,1.15574,1.05113,1.15891,0.007294,0.007294,0.007294
84,219.686,1.15189,0.89092,1.0349,0.81175,0.80286,0.78276,0.53157,1.15574,1.05113,1.15891,0.007261,0.007261,0.007261
85,222.53,1.12506,0.84958,1.02457,0.81248,0.82145,0.79095,0.53159,1.13217,0.99193,1.15593,0.007228,0.007228,0.007228
86,224.542,1.09386,0.80393,1.01328,0.81248,0.82145,0.79095,0.53159,1.13217,0.99193,1.15593,0.007195,0.007195,0.007195
87,226.57,1.10771,0.87723,1.00785,0.81248,0.82145,0.79095,0.53159,1.13217,0.99193,1.15593,0.007162,0.007162,0.007162
88,228.609,1.15508,0.88037,0.98996,0.80616,0.8199,0.79806,0.53069,1.15532,0.93866,1.16612,0.007129,0.007129,0.007129
89,230.656,1.18484,0.85805,1.02142,0.80616,0.8199,0.79806,0.53069,1.15532,0.93866,1.16612,0.007096,0.007096,0.007096
90,232.639,1.14242,0.91858,1.06493,0.80616,0.8199,0.79806,0.53069,1.15532,0.93866,1.16612,0.007063,0.007063,0.007063
91,235.339,1.13691,0.81908,1.02533,0.71605,0.74569,0.71862,0.48195,1.13851,1.1421,1.14405,0.00703,0.00703,0.00703
